aleatoric,epistemic
4.167884588241577148e-02,5.074503365904092789e-03
3.591132164001464844e-02,5.236481782048940659e-03
3.984588384628295898e-02,1.262985169887542725e-02
4.098343849182128906e-02,1.291406573727726936e-03
3.130191564559936523e-02,1.734204939566552639e-03
1.231701970100402832e-01,4.665336105972528458e-03
1.054703593254089355e-01,9.780451655387878418e-03
1.116636991500854492e-01,1.161286327987909317e-02
1.056148409843444824e-01,6.238969508558511734e-03
1.364054083824157715e-01,6.884464994072914124e-03
1.657123565673828125e-01,1.078224834054708481e-02
1.643359661102294922e-01,8.605683222413063049e-03
1.840610504150390625e-01,1.947636157274246216e-02
1.772450208663940430e-01,9.420198388397693634e-03
2.061258256435394287e-01,1.545389089733362198e-02
2.001920640468597412e-01,1.516072452068328857e-02
2.013690769672393799e-01,4.193241521716117859e-02
1.923085749149322510e-01,2.152109704911708832e-02
1.718441247940063477e-01,1.387224718928337097e-02
1.592727303504943848e-01,2.800054661929607391e-02
9.558093547821044922e-02,1.699393428862094879e-02
1.126247048377990723e-01,1.721163839101791382e-02
1.465347409248352051e-01,1.513384561985731125e-02
1.228252053260803223e-01,1.310431119054555893e-02
1.917401254177093506e-01,2.602712251245975494e-02
1.396676301956176758e-01,3.625309467315673828e-02
2.137033045291900635e-01,1.462209410965442657e-02
9.772336483001708984e-02,1.593834534287452698e-02
1.527667641639709473e-01,8.924185298383235931e-03
8.027386665344238281e-02,1.529769971966743469e-02
1.831262707710266113e-01,1.508570183068513870e-02
6.310284137725830078e-02,3.096466185525059700e-03
1.772424578666687012e-01,1.027861237525939941e-02
1.035577654838562012e-01,7.959824055433273315e-03
1.363198161125183105e-01,1.900334842503070831e-02
7.824593782424926758e-02,7.015363313257694244e-03
1.816908717155456543e-01,1.448513008654117584e-02
1.436105966567993164e-01,3.404185920953750610e-02
9.003514051437377930e-02,3.434295579791069031e-02
1.138651371002197266e-01,2.191765792667865753e-02
5.562961101531982422e-02,7.930927909910678864e-03
7.753682136535644531e-02,4.007421061396598816e-02
3.263926506042480469e-02,3.235583193600177765e-03
1.010372042655944824e-01,2.211443148553371429e-02
5.134415626525878906e-02,4.581370856612920761e-03
1.142501831054687500e-01,6.158276274800300598e-02
1.183316111564636230e-01,1.747386343777179718e-02
1.318610310554504395e-01,2.332537248730659485e-02
1.857238411903381348e-01,2.275241352617740631e-02
1.822426915168762207e-01,1.401161216199398041e-02
1.033118367195129395e-01,5.354439374059438705e-03
1.236580610275268555e-01,1.975523494184017181e-02
7.700365781784057617e-02,2.377490885555744171e-02
7.728582620620727539e-02,1.204213779419660568e-02
5.358803272247314453e-02,6.306161638349294662e-03
7.197260856628417969e-02,1.477300003170967102e-02
9.100198745727539062e-03,4.452671564649790525e-04
2.506881952285766602e-02,2.288130810484290123e-03
6.550854444503784180e-02,1.309611946344375610e-01
5.783885717391967773e-02,6.299568712711334229e-02
8.948788046836853027e-02,1.530955135822296143e-01
1.293392181396484375e-01,6.865610927343368530e-02
1.235112547874450684e-01,1.111918780952692032e-02
4.789078235626220703e-02,4.556641913950443268e-03
1.112020015716552734e-01,8.043313026428222656e-02
7.872915267944335938e-02,1.197648886591196060e-02
1.364076137542724609e-01,7.622474804520606995e-03
1.144301891326904297e-01,8.270838297903537750e-03
9.941929578781127930e-02,3.804711624979972839e-02
1.035386323928833008e-01,3.760451823472976685e-02
1.082148551940917969e-01,1.239328552037477493e-02
1.242502331733703613e-01,1.530890259891748428e-02
4.897832870483398438e-02,1.410669647157192230e-02
1.235208511352539062e-01,5.324951559305191040e-02
4.898267984390258789e-02,4.629942588508129120e-03
7.693445682525634766e-02,6.411296315491199493e-03
6.221723556518554688e-02,3.280389122664928436e-03
9.670430421829223633e-02,1.033848989754915237e-02
1.033740639686584473e-01,6.219271570444107056e-02
7.052910327911376953e-02,9.077356196939945221e-03
1.725547313690185547e-01,3.356613218784332275e-02
1.910893917083740234e-01,2.995793148875236511e-02
1.473134160041809082e-01,2.369240671396255493e-02
7.526236772537231445e-02,5.511404015123844147e-03
6.230258941650390625e-02,1.621448434889316559e-02
8.356618881225585938e-02,1.239347551017999649e-02
4.499965906143188477e-02,4.866887815296649933e-03
6.068557500839233398e-02,1.293684914708137512e-02
4.757219552993774414e-02,3.649914870038628578e-03
8.021360635757446289e-02,1.487321965396404266e-02
7.296979427337646484e-02,1.546671334654092789e-02
2.145795524120330811e-01,3.255696967244148254e-02
2.052338421344757080e-01,3.393254801630973816e-02
1.713871359825134277e-01,7.881133817136287689e-03
1.515909433364868164e-01,2.166436985135078430e-02
1.311070919036865234e-01,1.682529784739017487e-02
8.286768198013305664e-02,1.142791379243135452e-02
7.408475875854492188e-02,6.881402339786291122e-03
9.593838453292846680e-02,1.470818929374217987e-02
1.007980704307556152e-01,5.767314881086349487e-02
1.088053584098815918e-01,7.425130344927310944e-03
7.652276754379272461e-02,8.598143607378005981e-02
8.943885564804077148e-02,5.631880462169647217e-02
1.130029559135437012e-01,3.729872405529022217e-02
3.731083869934082031e-02,1.544034923426806927e-03
6.325066089630126953e-02,1.110075879842042923e-02
9.524124860763549805e-02,5.583473946899175644e-03
9.545224905014038086e-02,1.014020480215549469e-02
5.459463596343994141e-02,5.215823184698820114e-03
8.134317398071289062e-02,1.047337520867586136e-02
1.040070652961730957e-01,9.096161462366580963e-03
1.133142709732055664e-01,6.315840408205986023e-03
4.097127914428710938e-02,3.195872996002435684e-03
8.119326829910278320e-02,8.375566452741622925e-03
6.579768657684326172e-02,1.069723535329103470e-02
6.505471467971801758e-02,4.546056967228651047e-03
3.770303726196289062e-02,4.652165342122316360e-03
1.456862688064575195e-02,5.939046386629343033e-04
8.235538005828857422e-02,4.813437163829803467e-02
5.969947576522827148e-02,6.080287043005228043e-03
7.399791479110717773e-02,4.932212457060813904e-02
1.084683537483215332e-01,7.214917987585067749e-02
6.280052661895751953e-02,3.917435556650161743e-02
1.140803694725036621e-01,1.125356182456016541e-01
1.090345382690429688e-01,1.041012480854988098e-01
1.595980525016784668e-01,6.391371041536331177e-02
5.816674232482910156e-02,1.097593922168016434e-02
1.227998137474060059e-01,2.390178665518760681e-02
6.750220060348510742e-02,4.082866478711366653e-03
1.574734449386596680e-01,4.829807952046394348e-02
1.142292022705078125e-01,2.755856700241565704e-02
1.939779818058013916e-01,2.149048633873462677e-02
1.780359148979187012e-01,2.761974185705184937e-02
1.657714247703552246e-01,3.570167720317840576e-02
2.061561644077301025e-01,1.915854588150978088e-02
1.514406204223632812e-01,2.887519821524620056e-02
1.673006415367126465e-01,1.882788352668285370e-02
1.242349743843078613e-01,2.203686349093914032e-02
8.785045146942138672e-02,1.764994114637374878e-02
1.535509228706359863e-01,2.537030540406703949e-02
8.821994066238403320e-02,8.770232088863849640e-03
1.095464229583740234e-01,1.093616429716348648e-02
1.403158307075500488e-01,2.163567021489143372e-02
1.252846121788024902e-01,7.336386479437351227e-03
1.064926385879516602e-01,9.636151604354381561e-03
8.738809823989868164e-02,8.381358347833156586e-03
1.083071827888488770e-01,7.503740023821592331e-03
6.370884180068969727e-02,9.783504530787467957e-03
1.231524944305419922e-01,1.397428754717111588e-02
1.021967530250549316e-01,3.730936720967292786e-02
1.004331707954406738e-01,5.268262699246406555e-03
8.907228708267211914e-02,5.661050323396921158e-03
1.391868591308593750e-01,3.494593128561973572e-02
1.104487776756286621e-01,2.037858590483665466e-02
8.747434616088867188e-02,1.122304331511259079e-02
8.236908912658691406e-02,3.504256531596183777e-02
6.931948661804199219e-02,1.757149212062358856e-02
8.391726016998291016e-02,2.488019503653049469e-02
2.582108974456787109e-02,1.647432451136410236e-03
1.460131406784057617e-01,5.717051401734352112e-02
6.076598167419433594e-02,7.469310425221920013e-03
1.367300152778625488e-01,1.750555820763111115e-02
1.386317610740661621e-01,2.947663702070713043e-02
1.670692563056945801e-01,1.626381836831569672e-02
1.953335404396057129e-01,3.478949517011642456e-02
1.771131455898284912e-01,6.786038726568222046e-02
1.942959725856781006e-01,4.425864294171333313e-02
1.678552031517028809e-01,6.805218011140823364e-02
1.741006076335906982e-01,7.482721656560897827e-02
1.939157247543334961e-01,2.472671307623386383e-02
1.640332937240600586e-01,7.957225292921066284e-02
8.499240875244140625e-02,3.661938011646270752e-02
2.098855376243591309e-01,3.126429766416549683e-02
8.470231294631958008e-02,1.571091078221797943e-02
1.470711231231689453e-01,8.233142644166946411e-02
1.497543454170227051e-01,5.461051687598228455e-02
1.681901812553405762e-01,7.424473762512207031e-02
1.175296902656555176e-01,5.196728557348251343e-02
2.038254141807556152e-01,2.475950308144092560e-02
1.360101699829101562e-01,9.553242474794387817e-03
1.512048244476318359e-01,9.639675728976726532e-03
1.588777303695678711e-01,2.607249654829502106e-02
3.916853666305541992e-02,4.439622629433870316e-03
1.113394498825073242e-01,1.018322631716728210e-02
5.026084184646606445e-02,2.470984822139143944e-03
9.347683191299438477e-02,8.483150973916053772e-03
6.490021944046020508e-02,1.120489928871393204e-02
1.369948983192443848e-01,5.156950280070304871e-02
9.535986185073852539e-02,1.138312183320522308e-02
1.634936332702636719e-01,3.232373669743537903e-02
8.189022541046142578e-02,1.188540551811456680e-02
1.271886825561523438e-01,3.560336679220199585e-02
6.633961200714111328e-02,2.493746019899845123e-02
6.753933429718017578e-02,1.136391982436180115e-02
4.972183704376220703e-02,4.878934007138013840e-03
5.414855480194091797e-02,3.809077898040413857e-03
2.788472175598144531e-02,1.174935372546315193e-03
4.349678754806518555e-02,7.726897485554218292e-03
9.550654888153076172e-02,9.085743688046932220e-03
1.789631843566894531e-01,3.785371407866477966e-02
1.652629375457763672e-01,2.600241824984550476e-02
2.205252647399902344e-01,2.464705146849155426e-02
2.284251153469085693e-01,1.670781336724758148e-02
2.187644839286804199e-01,2.126029133796691895e-02
1.522164344787597656e-01,2.218163944780826569e-02
1.454288363456726074e-01,1.426919735968112946e-02
6.217133998870849609e-02,9.923638775944709778e-03
1.269794702529907227e-01,2.755954675376415253e-02
6.567311286926269531e-02,5.008144769817590714e-03
1.648562550544738770e-01,4.570439085364341736e-02
1.004492044448852539e-01,2.961128950119018555e-02
2.024939060211181641e-01,3.188119083642959595e-02
6.922495365142822266e-02,4.282563924789428711e-03
1.677712202072143555e-01,1.844123005867004395e-02
8.846020698547363281e-02,7.041702046990394592e-03
1.651617884635925293e-01,9.345761500298976898e-03
1.847774386405944824e-01,1.755640655755996704e-02
2.016480267047882080e-01,1.253207400441169739e-02
1.972586512565612793e-01,1.872480101883411407e-02
1.860545277595520020e-01,2.892893552780151367e-02
1.898488402366638184e-01,4.049672186374664307e-02
6.585043668746948242e-02,2.286341739818453789e-03
1.307948827743530273e-01,2.524532936513423920e-02
5.736464262008666992e-02,3.981358837336301804e-03
1.182826757431030273e-01,8.484057150781154633e-03
9.112417697906494141e-02,8.483414538204669952e-03
1.448395848274230957e-01,2.102886512875556946e-02
9.816110134124755859e-02,9.701746515929698944e-03
1.753671765327453613e-01,1.725892908871173859e-02
1.977351903915405273e-01,1.214920543134212494e-02
2.013375163078308105e-01,6.795506458729505539e-03
2.161077857017517090e-01,3.382520005106925964e-02
2.254161238670349121e-01,1.948017813265323639e-02
2.315275669097900391e-01,1.781136728823184967e-02
2.348494678735733032e-01,1.477554906159639359e-02
2.246492505073547363e-01,2.517141588032245636e-02
2.287151217460632324e-01,1.386891398578882217e-02
2.081056833267211914e-01,3.658068925142288208e-02
2.171395570039749146e-01,3.117292933166027069e-02
2.100109755992889404e-01,3.859958797693252563e-02
1.895328462123870850e-01,2.791637182235717773e-02
1.925874054431915283e-01,2.723088301718235016e-02
1.129479408264160156e-01,1.834406331181526184e-02
7.711124420166015625e-02,1.317466143518686295e-02
8.435106277465820312e-02,2.678422071039676666e-02
5.193489789962768555e-02,1.074097678065299988e-02
6.503641605377197266e-02,1.365005876868963242e-02
